r_fighter,b_fighter
Jess Liaudin,Anthony Torres
Nate Quarry,Pete Sell
Kenny Florian,Din Thomas
Chris Leben,Terry Martin
Nate Diaz,Junior Assuncao
Luke Cummo,Edilberto de Oliveira
Gray Maynard,Joe Veres
Thiago Alves,Kuniyoshi Hironaka
Dustin Hazelett,Jonathan Goulet
Cole Miller,Leonard Garcia
Keith Jardine,Chuck Liddell
Forrest Griffin,Mauricio Rua
Jon Fitch,Diego Sanchez
Lyoto Machida,Kazuhiro Nakamura
Rich Clementi,Anthony Johnson
Jeremy Stephens,Diego Saraiva
Christian Wellisch,Scott Junk
Matt Wiman,Michihiro Omigawa
Tyson Griffin,Thiago Tavares
Alvin Robinson,Jorge Gurgel
Anderson Silva,Rich Franklin
Tim Sylvia,Brandon Vera
Stephan Bonnar,Eric Schafer
Matt Grice,Jason Black
Yushin Okami,Jason MacDonald
Demian Maia,Ryan Jensen
Joshua Burkman,Forrest Petz
Alan Belcher,Kalib Starnes
Rashad Evans,Michael Bisping
Thiago Silva,Houston Alexander
Ed Herman,Joe Doerksen
Karo Parisyan,Ryo Chonan
Thiago Alves,Chris Lytle
Joe Lauzon,Jason Reinhardt
